序号,品类,昨日价,今日价,涨幅

1,上青,1.0 ,0.9 ,-0.1

2,大利,0.6 ,0.5,-0.1

3,黄白,1.0 ,1.0 ,0

4,油麦菜,1.0 ,1.0 ,0

5,包芥,1.0 ,1.5 ,0.5

6,奶白,0.8 ,0.6 ,-0.2

7,春菜,0.5 ,0.5 ,0

8,叶生菜,0.7 ,0.5 ,-0.2

9,香菜,7.0 ,7.0 ,0

10,茼蒿,2.5 ,2.5 ,0

11,罗纹,0.8 ,0.8 ,0

12,红珊瑚,1.5 ,1.3 ,-0.2

13,芳茜,3.0 ,3.0 ,0

14,生菜球,0.6 ,0.6 ,0

15,菠菜,4.0 ,5.0 ,1

16,菜心,0.8 ,0.8 ,0

17,金丝白,1.0 ,1.0 ,0

18,娃娃菜,0.5 ,0.5 ,0

19,苦菊,1.0 ,0.8 ,-0.2

21,瓜尖,2.5 ,3.0 ,0.5

22,茴香,3.5 ,3.5 ,0

23,茴香头,1.2 ,1.2 ,0

24,兰花苔,2.0 ,2.0,0

25,西芹,2.3 ,2.0 ,-0.3

26,小西芹,2.0 ,1.7 ,-0.3

27,薄荷,5.0 ,5.0 ,0

28,红菜头,1.0 ,1.0 ,0

