肖申克的救赎,1994,9.7,2613518
霸王别姬,1993,9.6,1940466
阿甘正传,1994,9.5,1964643
泰坦尼克号,1997,9.4,1925034
这个杀手不太冷,1994,9.4,2116849
美丽人生,1997,9.6,1207367
千与千寻,2001,9.4,2041611
辛德勒的名单,1993,9.6,1007040
盗梦空间,2010,9.4,1883237
忠犬八公的故事,2009,9.4,1288661
星际穿越,2014,9.4,1572998
楚门的世界,1998,9.3,1495466
海上钢琴师,1998,9.3,1531572
三傻大闹宝莱坞,2009,9.2,1709038
机器人总动员,2008,9.3,1206035
放牛班的春天,2004,9.3,1191654
无间道,2002,9.3,1207960
疯狂动物城,2016,9.2,1720842
大话西游之大圣娶亲,1995,9.2,1398359
熔炉,2011,9.3,851502
控方证人,1957,9.6,457930
教父,1972,9.3,866641
当幸福来敲门,2006,9.2,1388222
触不可及,2011,9.3,968936
怦然心动,2010,9.1,1663223
龙猫,1988,9.2,1153315
末代皇帝,1987,9.3,774907
寻梦环游记,2017,9.1,1483635
蝙蝠侠：黑暗骑士,2008,9.2,960564
活着,1994,9.3,747771
哈利·波特与魔法石,2001,9.1,1042220
指环王3：王者无敌,2003,9.3,727132
乱世佳人,1939,9.3,627988
素媛,2013,9.3,616029
飞屋环游记,2009,9.1,1206678
摔跤吧！爸爸,2016,9.0,1433952
我不是药神,2018,9.0,1912577
何以为家,2018,9.1,939771
十二怒汉,1957,9.4,431968
哈尔的移动城堡,2004,9.1,913134
少年派的奇幻漂流,2012,9.1,1241844
鬼子来了,2000,9.3,562305
大话西游之月光宝盒,1995,9.0,1115042
猫鼠游戏,2002,9.1,881249
天空之城,1986,9.1,749264
天堂电影院,1988,9.2,627871
闻香识女人,1992,9.1,790962
指环王2：双塔奇兵,2002,9.2,678839
钢琴家,2002,9.2,544667
让子弹飞,2010,8.9,1515038
罗马假日,1953,9.1,874909
海蒂和爷爷,2015,9.3,487801
指环王1：护戒使者,2001,9.1,767327
黑客帝国,1999,9.1,764127
大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),9.4,384932
辩护人,2013,9.2,541159
教父2,1974,9.2,490620
死亡诗社,1989,9.1,638539
狮子王,1994,9.1,755962
绿皮书,2018,8.9,1458696
搏击俱乐部,1999,9.0,771690
饮食男女,1994,9.2,551976
美丽心灵,2001,9.1,697545
本杰明·巴顿奇事,2008,9.0,896229
窃听风暴,2006,9.2,511582
情书,1995,8.9,976119
穿条纹睡衣的男孩,2008,9.2,493914
两杆大烟枪,1998,9.1,546063
西西里的美丽传说,2000,8.9,887271
看不见的客人,2016,8.8,1130992
拯救大兵瑞恩,1998,9.1,588532
音乐之声,1965,9.1,544381
飞越疯人院,1975,9.1,507434
小鞋子,1997,9.2,370332
阿凡达,2009,8.8,1261505
